Month,Day of the Week,sku,color,size,unit_price,quantity,revenue
6,2,708,Dark Blue,2XL,298,1,298
6,2,89,Dark Blue,2XL,258,1,258
6,4,bobo,Cream,One Size,228,1,228
6,4,799,Dark Blue,XL,264,1,264
6,5,799,Dark Blue,M,264,1,264
6,5,799,Dark Blue,XL,264,1,264
6,5,799,Dark Blue,XL,264,1,264
6,5,708,Dark Blue,3XL,278,1,278
6,5,708,Dark Blue,XL,278,1,278
6,5,239,Black,Unknown,258,1,258
6,6,708,Dark Blue,XL,278,1,278
6,6,708,Dark Blue,3XL,278,1,278
6,6,708,Dark Blue,3XL,278,1,278
6,0,799,Dark Blue,XL,264,1,264
6,1,799,Dark Blue,M,264,1,264
6,1,bobo,Navy Blue,One Size,228,1,228
6,1,bobo,Blue,One Size,228,1,228
6,1,bobo,Light Gray,One Size,228,1,228
6,1,708,Dark Blue,XL,278,1,278
6,2,708,Dark Blue,2XL,278,1,278
6,2,77,B,Unknown,258,1,258
6,2,77,C,Unknown,258,1,258
6,2,77,D,Unknown,258,1,258
6,2,77,E,Unknown,258,1,258
6,2,77,A,Unknown,288,1,288
6,2,799,Dark Blue,XL,264,1,264
6,2,799,Dark Blue,XL,264,1,264
6,2,799,Dark Blue,XL,264,1,264
6,2,799,Dark Blue,XL,264,1,264
6,3,799,Dark Blue,L,264,1,264
6,3,708,Dark Blue,3XL,278,1,278
6,4,708,Dark Blue,3XL,278,1,278
6,5,708,Dark Blue,3XL,278,1,278
6,5,708,Dark Blue,XL,278,1,278
6,5,708,Dark Blue,3XL,278,1,278
6,5,897,Mid Wash,L,268,1,268
6,5,708,Dark Blue,XL,278,1,278
6,6,708,Dark Blue,2XL,278,1,278
6,6,799,Dark Blue,XL,264,1,264
6,3,799,Dark Blue,XL,288,1,288
6,0,708,Dark Blue,3XL,278,1,278
6,1,708,Dark Blue,XL,278,1,278
6,1,708,Dark Blue,XL,278,1,278
6,1,799,Dark Blue,L,264,1,264
6,2,9699,Light Blue,One Size,288,1,288
6,2,799,Dark Blue,XL,264,1,264
6,3,708,Dark Blue,XL,278,1,278
6,3,708,Dark Blue,XL,278,1,278
6,3,127,Dark Wash,One Size,238,1,238
6,4,708,Dark Blue,XL,278,1,278
6,4,708,Dark Blue,3XL,278,1,278
6,4,708,Dark Blue,3XL,278,1,278
6,4,897,Dark Wash,XL,268,1,268
6,4,89,Dark Blue,3XL,258,1,258
6,5,708,Dark Blue,3XL,298,1,298
6,5,799,Dark Blue,M,288,1,288
6,6,9699,Light Blue,One Size,288,1,288
6,6,1719,Thin Blue,One Size,268,1,268
6,6,127,Mid Wash,One Size,238,1,238
6,6,799,Dark Blue,XL,288,1,288
6,0,799,Dark Blue,M,288,1,288
6,1,799,Dark Blue,M,288,1,288
6,1,708,Dark Blue,2XL,298,1,298
6,4,799,Dark Blue,L,288,1,288
6,4,708,Dark Blue,2XL,278,1,278
6,4,9699,Dark Blue,One Size,288,1,288
6,3,439,Rust,Unknown,258,1,258
6,6,799,Dark Blue,L,288,1,288
6,6,77,B,Unknown,258,1,258
6,0,3799,Grey Wash,XL,246,1,246
6,0,799,Dark Blue,XL,264,1,264
6,0,708,Dark Blue,3XL,278,1,278
6,0,708,Dark Blue,3XL,278,1,278
6,0,708,Dark Blue,XL,278,1,278
6,0,799,Dark Blue,XL,264,1,264
6,0,708,Dark Blue,2XL,278,1,278
6,0,708,Dark Blue,3XL,278,1,278
6,0,708,Dark Blue,2XL,278,1,278
6,0,897,Mid Wash,L,268,1,268
6,0,708,Dark Blue,3XL,278,1,278
6,0,1719,Thin Black,One Size,268,1,268
6,0,77,B,Unknown,258,1,258
6,0,77,D,Unknown,258,1,258
6,0,77,A,Unknown,288,1,288
6,0,708,Dark Blue,XL,278,1,278
6,2,799,Dark Blue,L,264,1,264
6,2,708,Dark Blue,2XL,278,1,278
6,2,799,Dark Blue,XL,264,1,264
6,3,229,922 Black,XL,207,1,207
6,3,229,922 Army green,XL,207,1,207
6,3,89,Dark Blue,3XL,258,1,258
6,3,2499,Mid Wash,XL,249,1,249
6,3,799,Dark Blue,XL,264,1,264
6,3,799,Dark Blue,M,264,1,264
7,4,799,Dark Blue,XL,288,1,288
7,6,89,Dark Blue,2XL,258,1,258
7,6,1719,Thin Blue,One Size,268,1,268
7,6,708,Dark Blue,XL,298,1,298
7,6,799,Dark Blue,XL,288,1,288
7,6,799,Dark Blue,XL,288,1,288
7,6,799,Dark Blue,L,288,1,288
7,0,799,Dark Blue,L,288,1,288
7,0,799,Dark Blue,XL,288,1,288
7,0,799,Dark Blue,M,288,2,576
7,1,799,Dark Blue,M,288,1,288
7,1,799,Dark Blue,XL,288,1,288
7,1,799,Dark Blue,M,288,1,288
7,2,799,Dark Blue,L,288,1,288
7,3,708,Dark Blue,XL,298,1,298
7,3,799,Dark Blue,M,288,1,288
7,3,799,Dark Blue,L,288,1,288
7,3,799,Dark Blue,XL,288,1,288
7,4,799,Dark Blue,M,288,1,288
7,4,79,Light Blue,4XL,315,1,315
7,4,708,Dark Blue,2XL,298,1,298
7,4,1719,Gray Stripes,One Size,255,1,255
7,4,799,Dark Blue,XL,288,1,288
7,5,799,Dark Blue,XL,288,1,288
7,5,799,Dark Blue,XL,288,1,288
7,5,799,Dark Blue,XL,288,1,288
7,5,799,Dark Blue,XL,288,1,288
7,6,708,Dark Blue,2XL,298,1,298
7,6,799,Dark Blue,XL,288,1,288
7,0,799,Dark Blue,M,288,1,288
7,0,799,Dark Blue,M,288,1,288
7,0,708,Dark Blue,XL,298,1,298
7,0,799,Dark Blue,XL,288,1,288
7,0,799,Dark Blue,M,288,1,288
7,1,799,Dark Blue,XL,288,1,288
7,1,799,Dark Blue,M,288,1,288
7,1,799,Dark Blue,XL,288,1,288
7,5,29,920 Navy blue,S,227,1,227
7,5,799,Dark Blue,M,288,1,288
7,5,708,Dark Blue,2XL,298,1,298
7,5,799,Dark Blue,XL,288,1,288
7,5,708,Dark Blue,3XL,298,1,298
7,2,799,Dark Blue,XL,288,1,288
7,3,77,C,Unknown,239,1,239
7,4,3799,Grey Wash,XL,268,1,268
7,4,799,Dark Blue,L,266,1,266
7,4,799,Dark Blue,L,266,1,266
7,4,799,Dark Blue,L,266,1,266
7,5,799,Dark Blue,XL,266,1,266
7,5,799,Dark Blue,XL,266,1,266
7,5,2499,Mid Wash,XL,232,1,232
7,5,799,Dark Blue,L,266,1,266
7,5,2499,Mid Wash,M,232,1,232
7,6,708,Dark Blue,2XL,298,1,298
7,6,799,Dark Blue,M,266,1,266
7,6,799,Dark Blue,L,266,1,266
7,0,799,Dark Blue,M,266,1,266
7,0,127,Light Wash,One Size,238,1,238
7,1,799,Dark Blue,M,266,1,266
7,1,1719,Blue Stripes,One Size,248,1,248
7,1,799,Dark Blue,L,266,1,266
7,1,708,Dark Blue,XL,298,1,298
7,1,799,Dark Blue,XL,266,1,266
7,2,9699,Light Blue,One Size,288,1,288
7,2,799,Dark Blue,XL,266,1,266
7,2,799,Dark Blue,XL,266,1,266
7,2,799,Dark Blue,L,266,1,266
7,2,799,Dark Blue,L,266,1,266
7,2,799,Dark Blue,XL,266,1,266
7,3,799,Dark Blue,L,266,1,266
7,4,799,Dark Blue,M,266,1,266
7,4,708,Dark Blue,2XL,298,1,298
7,4,799,Dark Blue,M,266,1,266
7,6,708,Dark Blue,XL,298,1,298
7,6,2499,Dark Wash,M,249,1,249
7,6,799,Dark Blue,M,288,1,288
7,6,1499,Light Blue,XL,287,1,287
7,6,799,Dark Blue,XL,288,1,288
7,5,799,Dark Blue,XL,266,1,266
7,5,708,Dark Blue,3XL,298,1,298
7,5,799,Dark Blue,L,266,1,266
7,5,799,Dark Blue,XL,266,1,266
7,5,799,Dark Blue,XL,266,1,266
7,5,799,Dark Blue,L,266,1,266
7,5,799,Dark Blue,XL,266,1,266
7,5,799,Dark Blue,XL,266,1,266
7,6,708,Dark Blue,3XL,298,1,298
7,6,708,Dark Blue,3XL,298,1,298
7,6,628,Blue,XL,268,1,268
7,6,799,Dark Blue,XL,266,1,266
7,6,61399,Mid Wash,M,278,1,278
7,6,799,Dark Blue,L,266,1,266
7,6,1719,Black Stripes,One Size,248,1,248
7,1,799,Dark Blue,M,288,1,288
7,1,799,Dark Blue,M,288,1,288
7,2,9699,Light Blue,One Size,288,1,288
7,2,9699,Black,One Size,288,2,576
7,3,9699,Light Blue,One Size,288,1,288
7,3,799,Dark Blue,XL,269,1,269
7,3,77,B,Unknown,239,1,239
7,3,799,Dark Blue,XL,269,1,269
7,3,799,Dark Blue,L,269,1,269
7,3,799,Dark Blue,XL,269,1,269
7,3,799,Dark Blue,L,269,1,269
7,3,799,Dark Blue,L,269,1,269
7,3,708,Dark Blue,2XL,296,1,296
7,3,708,Dark Blue,3XL,296,1,296
7,3,799,Dark Blue,L,269,1,269
7,4,9699,Black,One Size,288,1,288
7,4,799,Dark Blue,XL,269,1,269
7,5,708,Dark Blue,XL,296,1,296
7,5,799,Dark Blue,L,269,1,269
7,5,77,A,Unknown,239,1,239
7,5,708,Dark Blue,2XL,296,1,296
8,0,799,Dark Blue,L,266,1,266
8,0,799,Dark Blue,XL,266,1,266
8,2,799,Dark Blue,M,266,1,266
8,2,9699,Light Blue,One Size,288,1,288
8,2,3799,Grey Wash,XL,268,1,268
8,2,799,Dark Blue,XL,266,1,266
8,3,799,Dark Blue,L,266,1,266
8,3,799,Dark Blue,XL,266,1,266
8,4,799,Dark Blue,L,266,1,266
8,4,799,Dark Blue,L,266,1,266
8,4,799,Dark Blue,M,266,1,266
8,4,799,Dark Blue,M,266,1,266
8,5,799,Dark Blue,M,266,1,266
8,5,799,Dark Blue,XL,266,1,266
8,5,799,Dark Blue,XL,266,1,266
8,6,799,Dark Blue,L,266,1,266
8,6,799,Dark Blue,L,266,1,266
8,6,799,Dark Blue,M,266,1,266
8,6,799,Dark Blue,L,266,1,266
8,6,799,Dark Blue,M,266,1,266
8,6,89,Light Blue,XL,258,1,258
8,0,799,Dark Blue,XL,266,1,266
8,0,799,Dark Blue,XL,266,1,266
8,0,799,Dark Blue,L,266,1,266
